ID_BUREAU;ID_PAYS;ADRESSE_RUE_BUREAU;CODE_POSTAL_BUREAU;NOM_VILLE_BUREAU;COURRIEL_BUREAU
1000;IT;1297 Via Cola di Rie;989;Roma;B1000@WIS.COM
1100;IT;93091 Calle della Testa;10934;Venice;B1100@WIS.COM
1200;JP;2017 Shinjuku-ku;1689;Tokyo;B1200@WIS.COM
1300;JP;9450 Kamiya-cho;6823;Hiroshima;B1300@WIS.COM
1400;US;2014 Jabberwocky Rd;26192;Southlake;B1400@WIS.COM
1500;US;2011 Interiors Blvd;99236;South San Francisco;B1500@WIS.COM
1600;US;2007 Zagora St;50090;South Brunswick;B1600@WIS.COM
1700;US;2004 Charade Rd;98199;Seattle;B1700@WIS.COM
1800;CA;147 Spadina Ave;M5V 2L7;Toronto;B1800@WIS.COM
1900;CA;6092 Boxwood St;YSW 9T2;Whitehorse;B1900@WIS.COM
2000;CN;40-5-12 Laogianggen;190518;Beijing;B2000@WIS.COM
2100;IN;1298 Vileparle (E);490231;Bombay;B2100@WIS.COM
2200;AU;12-98 Victoria Street;2901;Sydney;B2200@WIS.COM
2300;SG;198 Clementi North;540198;Singapore;B2300@WIS.COM
2400;UK;8204 Arthur St;56214;London;B2400@WIS.COM
2500;UK;Magdalen Centre;OX96ZB;Oxford;B2500@WIS.COM
2600;UK;9702 Chester Road;OX123;Stretford;B2600@WIS.COM
2700;DE;Schwanthalerstr. 7031;80925;Munich;B2700@WIS.COM
2800;BR;Rua Frei Caneca 1360 ;01307-002;Sao Paulo;B2800@WIS.COM
2900;CH;20 Rue des Corps-Saints;1730;Geneva;B2900@WIS.COM
3000;CH;Murtenstrasse 921;3095;Bern;B3000@WIS.COM
3100;NL;Pieter Breughelstraat 837;3029SK;Utrecht;B3100@WIS.COM
3200;MX;Mariano Escobedo 9991;11932;Mexico City;B3200@WIS.COM
